"","1","2","3","4","5","6","7","8","9","10"
"ANC",0.862068965517241,0.99009900990099,0.847457627118644,0.769230769230769,0.704225352112676,0.649350649350649,0.602409638554217,0.568181818181818,0.54054054054054,0.518134715025907
"BFT",1,1.04166666666667,1.03092783505155,1.02040816326531,1,1,1,1,1,1
"BIL",1,1.01010101010101,1,1,1,1,1,1,1,1
"BLF",0.970873786407767,1.12359550561798,1.12359550561798,1.12359550561798,1.0989010989011,1.08695652173913,1.0752688172043,1.05263157894737,1.04166666666667,1.03092783505155
"BLS",0.253164556962025,0.806451612903226,1,1,1,1,1,1,1,1
"BPF",0.709219858156028,0.689655172413793,0.490196078431373,0.454545454545455,0.487804878048781,0.480769230769231,0.471698113207547,0.462962962962963,0.454545454545455,0.446428571428571
"BSB",0.819672131147541,1.13636363636364,1.08695652173913,1.03092783505155,0.970873786407767,0.925925925925926,0.884955752212389,0.854700854700855,0.826446280991736,0.8
"BUT",0.909090909090909,1.04166666666667,0.952380952380952,0.91743119266055,0.925925925925926,0.909090909090909,0.892857142857143,0.884955752212389,0.869565217391304,0.87719298245614
"BWH",0.00184672206832872,0.00325182101977107,0.000759786044249939,1,1,1,1,1,1,1
"COD",0.54054054054054,0.900900900900901,0.854700854700855,0.78740157480315,0.72463768115942,0.671140939597315,0.628930817610063,0.591715976331361,0.561797752808989,0.537634408602151
"DOG",0.22075055187638,0.404858299595142,0.469483568075117,0.793650793650794,0.99009900990099,0.99009900990099,0.99009900990099,0.99009900990099,0.99009900990099,0.99009900990099
"DRM",0.854700854700855,0.925925925925926,0.892857142857143,0.854700854700855,0.826446280991736,0.8,0.78740157480315,0.775193798449612,0.769230769230769,0.769230769230769
"DSH",0.5,0.714285714285714,0.806451612903226,0.769230769230769,0.714285714285714,0.666666666666667,0.632911392405063,0.606060606060606,0.584795321637427,0.564971751412429
"FDE",0.900900900900901,1.14942528735632,1.11111111111111,1.0752688172043,1.03092783505155,1.02040816326531,1.02040816326531,1.03092783505155,1.03092783505155,1.02040816326531
"FDF",0.487804878048781,0.833333333333333,0.87719298245614,0.833333333333333,0.775193798449612,0.72463768115942,0.684931506849315,0.645161290322581,0.613496932515337,0.588235294117647
"FLA",0.510204081632653,0.581395348837209,0.555555555555556,0.568181818181818,0.581395348837209,0.571428571428571,0.546448087431694,0.523560209424084,0.5,0.480769230769231
"FOU",0.571428571428571,0.746268656716418,0.694444444444444,0.62111801242236,0.584795321637427,0.549450549450549,0.518134715025907,0.490196078431373,0.467289719626168,0.448430493273543
"GOO",0.72992700729927,0.961538461538461,0.900900900900901,0.813008130081301,0.746268656716418,0.694444444444444,0.649350649350649,0.609756097560976,0.574712643678161,0.546448087431694
"HAD",0.625,1.12359550561798,1.03092783505155,0.925925925925926,0.833333333333333,0.769230769230769,0.719424460431655,0.684931506849315,0.657894736842105,0.632911392405063
"HAL",0.462962962962963,0.813008130081301,0.775193798449612,0.709219858156028,0.675675675675676,0.641025641025641,0.606060606060606,0.574712643678161,0.549450549450549,0.526315789473684
"HER",0.99009900990099,1.01010101010101,1.01010101010101,1.01010101010101,1,1,1,1,1,1
"INV",0.684931506849315,1.17647058823529,1.04166666666667,0.900900900900901,0.806451612903226,0.740740740740741,0.694444444444444,0.657894736842105,0.628930817610063,0.609756097560976
"LSK",0.367647058823529,0.617283950617284,0.636942675159236,0.598802395209581,0.54054054054054,0.495049504950495,0.45662100456621,0.427350427350427,0.403225806451613,0.384615384615385
"MAK",0.72463768115942,0.746268656716418,0.980392156862745,1,1,1,1,1,1,1
"MEN",1,1.06382978723404,1.06382978723404,1.06382978723404,1.06382978723404,1.06382978723404,1.05263157894737,1.05263157894737,1.05263157894737,1.04166666666667
"MPF",0.99009900990099,1.58730158730159,1.72413793103448,1.75438596491228,1.78571428571429,1.75438596491228,1.75438596491228,1.75438596491228,1.72413793103448,1.72413793103448
"OHK",0.819672131147541,1.14942528735632,1.0752688172043,0.980392156862745,0.909090909090909,0.854700854700855,0.813008130081301,0.775193798449612,0.746268656716418,0.72463768115942
"OPT",0.72992700729927,1.11111111111111,1.25,1.26582278481013,1.21951219512195,1.16279069767442,1.11111111111111,1.06382978723404,1.02040816326531,0.980392156862745
"PIN",1,1.72413793103448,1.72413793103448,1.69491525423729,1.63934426229508,1.61290322580645,1.5625,1.53846153846154,1.49253731343284,1.47058823529412
"PLA",0.671140939597315,0.970873786407767,0.943396226415094,0.775193798449612,0.699300699300699,0.649350649350649,0.602409638554217,0.561797752808989,0.529100529100529,0.50251256281407
"POL",0.662251655629139,1.05263157894737,0.99009900990099,0.909090909090909,0.833333333333333,0.775193798449612,0.72463768115942,0.684931506849315,0.649350649350649,0.62111801242236
"POR",0.230414746543779,0.8,1,1,1,1,1,1,1,1
"PSH",0.227790432801822,0.628930817610063,1,1,1,1,1,1,1,1
"RED",0.53475935828877,1.01010101010101,0.980392156862745,0.91743119266055,0.854700854700855,0.8,0.757575757575758,0.719424460431655,0.684931506849315,0.657894736842105
"REP",0.000253090231729416,0.000758224843995238,1,1,1,1,1,1,1,1
"RHK",0.657894736842105,1.31578947368421,1.33333333333333,1.26582278481013,1.17647058823529,1.0989010989011,1.03092783505155,0.970873786407767,0.925925925925926,0.87719298245614
"RWH",0.00195297242402937,0.00635647088736334,0.00137767613589397,1,1,1,1,1,1,1
"SAL",0.952380952380952,1.35135135135135,1.35135135135135,1.35135135135135,1.33333333333333,1.31578947368421,1.2987012987013,1.2987012987013,1.28205128205128,1.26582278481013
"SB",1,1.31578947368421,1,1,1,1,1,1,1,1
"SCU",0.78125,1,0.99009900990099,0.952380952380952,0.909090909090909,0.87719298245614,0.847457627118644,0.819672131147541,0.8,0.775193798449612
"SDF",0.675675675675676,1.0989010989011,1.14942528735632,1.12359550561798,1.06382978723404,1.02040816326531,0.970873786407767,0.934579439252336,0.900900900900901,0.87719298245614
"SHK",0.91743119266055,1.19047619047619,1.26582278481013,1.40845070422535,1.44927536231884,1.42857142857143,1.38888888888889,1.35135135135135,1.33333333333333,1.31578947368421
"SK",0.36101083032491,0.649350649350649,0.72992700729927,0.699300699300699,0.641025641025641,0.584795321637427,0.537634408602151,0.5,0.471698113207547,0.446428571428571
"SMO",0.40650406504065,0.537634408602151,0.549450549450549,0.518134715025907,0.485436893203884,0.462962962962963,0.448430493273543,0.434782608695652,0.425531914893617,0.418410041841004
"SSH",0.286532951289398,0.649350649350649,0.793650793650794,0.806451612903226,0.769230769230769,0.746268656716418,0.72992700729927,0.709219858156028,0.684931506849315,0.662251655629139
"STB",0.72463768115942,1.21951219512195,1.20481927710843,1.12359550561798,1.05263157894737,1,0.952380952380952,0.909090909090909,0.869565217391304,0.840336134453782
"SUF",0.826446280991736,0.943396226415094,0.952380952380952,0.925925925925926,0.91743119266055,0.900900900900901,0.884955752212389,0.869565217391304,0.854700854700855,0.854700854700855
"SWH",0.72463768115942,1.0752688172043,0.952380952380952,1,1,1,1,1,1,1
"TAU",0.72992700729927,0.884955752212389,0.862068965517241,0.826446280991736,0.78125,0.75187969924812,0.719424460431655,0.694444444444444,0.675675675675676,0.657894736842105
"TUN",0.961538461538461,1.11111111111111,1.11111111111111,1.0752688172043,1,1,1,1,1,1
"TWH",0.72463768115942,1.0752688172043,0.952380952380952,1,1,1,1,1,1,1
"TYL",0.980392156862745,0.99009900990099,0.99009900990099,0.99009900990099,0.99009900990099,1,1,1,1,1
"WHK",0.934579439252336,1.5625,1.63934426229508,1.63934426229508,1.63934426229508,1.61290322580645,1.5625,1.53846153846154,1.49253731343284,1.44927536231884
"WIF",0.552486187845304,0.699300699300699,0.552486187845304,0.512820512820513,0.518134715025907,0.518134715025907,0.510204081632653,0.531914893617021,0.549450549450549,0.552486187845304
"WOL",0.719424460431655,0.884955752212389,0.943396226415094,1,1.01010101010101,1,0.970873786407767,0.952380952380952,0.925925925925926,0.900900900900901
"WPF",0.555555555555556,0.72992700729927,0.666666666666667,0.649350649350649,0.641025641025641,0.617283950617284,0.584795321637427,0.558659217877095,0.53475935828877,0.512820512820513
"WSK",0.282485875706215,0.657894736842105,0.847457627118644,0.847457627118644,0.8,0.75187969924812,0.709219858156028,0.671140939597315,0.636942675159236,0.606060606060606
"WTF",0.480769230769231,0.598802395209581,0.568181818181818,0.602409638554217,0.617283950617284,0.598802395209581,0.571428571428571,0.54054054054054,0.515463917525773,0.492610837438424
"YTF",0.746268656716418,0.91743119266055,0.892857142857143,0.826446280991736,0.75187969924812,0.689655172413793,0.632911392405063,0.591715976331361,0.555555555555556,0.529100529100529
